game_pk,home_team,away_team,side_team,is_long,venue_id,market_id,market_slug,event_slug,contract_url,scheduled_start_utc,model_probability,market_mid_probability,executable_buy,executable_qty,est_taker_fee_per_contract,total_acquisition_cost_per_contract,expected_net_value_per_contract,max_acceptable_price,min_edge,quote_age_seconds,quote_receive_time_utc,quote_stale,home_starter_status,away_starter_status,home_lineup_status,away_lineup_status,model_version,probability_source,policy_version,policy_hash,validation_status,evidence_verdict,decision_state,actionable,stake_guidance_enabled,permitted_exposure_units,uncertainty_note,pass_reason,rules_hash,fee_version,board_generated_at_utc,demo_fixture
824384,CLE,CWS,CLE,False,polymarket_us,800758,aec-mlb-cws-cle-2026-09-15,mlb-cws-cle-2026-09-15,https://polymarket.us/event/mlb-cws-cle-2026-09-15,2026-09-15T22:40:00Z,0.5389347394057245,0.5775,0.5800000000000001,,0.014615999999999999,0.594616,-0.05568126059427558,0.5139464095470769,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,e062e19722c610d1,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
824384,CLE,CWS,CWS,True,polymarket_us,800758,aec-mlb-cws-cle-2026-09-15,mlb-cws-cle-2026-09-15,https://polymarket.us/event/mlb-cws-cle-2026-09-15,2026-09-15T22:40:00Z,0.46106526059427555,0.4225,0.425,,0.014662499999999998,0.4396625,0.02140276059427554,0.4363086558345688,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,e062e19722c610d1,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
824466,CIN,LAD,CIN,False,polymarket_us,800720,aec-mlb-lad-cin-2026-09-15,mlb-lad-cin-2026-09-15,https://polymarket.us/event/mlb-lad-cin-2026-09-15,2026-09-15T22:40:00Z,0.4346708096377332,0.3174999999999999,0.31999999999999995,,0.013055999999999998,0.33305599999999996,0.10161480963773323,0.41015513561807876,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,7931e59821967a91,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
824466,CIN,LAD,LAD,True,polymarket_us,800720,aec-mlb-lad-cin-2026-09-15,mlb-lad-cin-2026-09-15,https://polymarket.us/event/mlb-lad-cin-2026-09-15,2026-09-15T22:40:00Z,0.5653291903622668,0.6825000000000001,0.685,,0.0129465,0.6979465,-0.13261730963773322,0.5404272521261327,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,7931e59821967a91,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
823333,PIT,MIL,PIT,False,polymarket_us,800793,aec-mlb-mil-pit-2026-09-15,mlb-mil-pit-2026-09-15,https://polymarket.us/event/mlb-mil-pit-2026-09-15,2026-09-15T22:40:00Z,0.4957963468551432,0.3274999999999999,0.32999999999999996,,0.013266,0.34326599999999996,0.15253034685514322,0.47084733951295155,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Model probability is near 0.5; edge vs market is unlikely after fees. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,6db38177b78ec77f,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
823333,PIT,MIL,MIL,True,polymarket_us,800793,aec-mlb-mil-pit-2026-09-15,mlb-mil-pit-2026-09-15,https://polymarket.us/event/mlb-mil-pit-2026-09-15,2026-09-15T22:40:00Z,0.5042036531448568,0.6725000000000001,0.675,,0.013162499999999999,0.6881625,-0.1839588468551432,0.4792295378716769,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Model probability is near 0.5; edge vs market is unlikely after fees. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,6db38177b78ec77f,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
822925,TB,ATH,TB,False,polymarket_us,800788,aec-mlb-ath-tb-2026-09-15,mlb-ath-tb-2026-09-15,https://polymarket.us/event/mlb-ath-tb-2026-09-15,2026-09-15T22:40:00Z,0.5564638760387459,0.6725,0.675,,0.013162499999999999,0.6881625,-0.1316986239612541,0.5315234999025119,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,dda539c23cd3ba55,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
822925,TB,ATH,ATH,True,polymarket_us,800788,aec-mlb-ath-tb-2026-09-15,mlb-ath-tb-2026-09-15,https://polymarket.us/event/mlb-ath-tb-2026-09-15,2026-09-15T22:40:00Z,0.4435361239612541,0.3275,0.33,,0.013266,0.343266,0.10027012396125407,0.4189304601794536,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,dda539c23cd3ba55,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
822683,WSH,PHI,WSH,False,polymarket_us,800727,aec-mlb-phi-wsh-2026-09-15,mlb-phi-wsh-2026-09-15,https://polymarket.us/event/mlb-phi-wsh-2026-09-15,2026-09-15T22:45:00Z,0.5225393074661302,0.3425,0.345,,0.013558499999999998,0.35855849999999995,0.16398080746613025,0.4975396706603548,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Model probability is near 0.5; edge vs market is unlikely after fees. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,d43b3ada05b46089,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
822683,WSH,PHI,PHI,True,polymarket_us,800727,aec-mlb-phi-wsh-2026-09-15,mlb-phi-wsh-2026-09-15,https://polymarket.us/event/mlb-phi-wsh-2026-09-15,2026-09-15T22:45:00Z,0.4774606925338698,0.6575,0.66,,0.013464,0.6734640000000001,-0.19600330746613026,0.45259552359784494,0.01,33297.0,2026-09-15T17:33:16Z,True,,,,,shadow_export,game_pick_export,polymarket_us_game_winner_v1_frozen_v1,6155a8a06da828f5,insufficient_data,insufficient_evidence,Game started,False,False,1.0,"No invented confidence score. Uncertainty is conveyed by validation status, sample size, quote age, and calibration reports. Registered evidence gates have not passed; treat probabilities as non-actionable. Model probability is near 0.5; edge vs market is unlikely after fees. Polymarket labeled history (0 dates) is below the structural floor (70).",game_started,d43b3ada05b46089,us_taker_theta_0.06_2026-07-01,2026-09-16T02:48:13Z,False
